region,company_name,duns_number,status,capabilities,Legend_Specialization,certification,subsidiary,overseas,website,contact,address_full,primary_naics_code,primary_naics_description,secondary_naics_code,secondary_naics_description,company_type,import_export,global_duns_no,global_name,immediate_parent_duns_no,immediate_parent_name,latitude,line_of_business,longtitude,manufacturing_indicator,marketing_prescreen_score,marketing_prescreen_ranking,minority_owned_indicator,owns_rents,phone_no,subsidiary_status,web_address_url,year_of_founding,auditors,trade_style,employer_id_number_ein,domestic_parent_duns_no,domestic_parent_name,location_type,mailing_address,mailing_city,mailing_country_region,mailing_county,mailing_state,mailing_zipcode,address,physical_address,physical_city,physical_country_region,physical_county,physical_state,physical_zipcode,physical_zipcode_short,secondary_sic_code,secondary_sic_description,primary_sic_code,primary_sic_description,facility_size,sales_volume_2020,employee_all_sites_2020,employee_this_sites_2020,avg_ann_dod_total_revenue,avg_dod_contract_value
Chicago,KNOCK ON METAL INC,03-900-9550,03-900-9550,Lead castings,Casting,No,NA,NA,https://www.dnb.com/business-directory/company-profiles.knock_on_metal_inc.ed4f3ed991fdec6760d12c33d30321f3.html,https://www.dnb.com/business-directory/company-profiles.knock_on_metal_inc.ed4f3ed991fdec6760d12c33d30321f3.html,"221 N LA SALLE ST # 3315, CHICAGO, IL",331529,Other Nonferrous Metal Foundries (except Die-Casting),,,Private,,03-900-9550,KNOCK ON METAL INC,03-900-9550,KNOCK ON METAL INC,41.886526,NONFERROUS METAL FOUNDRY,-87.631992,Manufacturer,High,3 - Neutral,No,,(312) 372-4569,Non-Subsidiary,,1980,,,363082942,03-900-9550,KNOCK ON METAL INC,Headquarters,,,,,,,"221 N LA SALLE ST # 3315, CHICAGO, IL 60601",221 N LA SALLE ST # 3315,CHICAGO,USA,COOK,IL,606011206,60601,,,33690101,"Lead castings, except die-castings",0,"$450,119",5,2,$0,$0
Chicago,DEVCO CASTING,03-183-2851,03-183-2851,Casting,Casting,No,NA,NA,https://www.dnb.com/business-directory/company-profiles.devco_casting.1465f1dc663b187f04c4b85557cd50e1.html,https://www.dnb.com/business-directory/company-profiles.devco_casting.1465f1dc663b187f04c4b85557cd50e1.html,"5 S WABASH AVE STE 407, CHICAGO, IL",331513,Steel Foundries (except Investment),,,Private,,,,,,41.881858,STEEL FOUNDRY,-87.625679,Non Manufacturer,Medium,2 - Likely to pay,No,,(312) 456-0076,Non-Subsidiary,,2011,,,,,,Single Location,,,,,,,"5 S WABASH AVE STE 407, CHICAGO, IL 60603",5 S WABASH AVE STE 407,CHICAGO,USA,COOK,IL,606033503,60603,,,33259901,"Alloy steel castings, except investment",0,"$242,920",3,3,$0,$0
Chicago,BIO SERVICES INC,06-343-9220,06-343-9220,"Hospital utensils, cast aluminum",Casting,No,NA,NA,https://www.dnb.com/business-directory/company-profiles.bio_services_inc.48b937a1d674a31b62f2a78d457fba4e.html,https://www.dnb.com/business-directory/company-profiles.bio_services_inc.48b937a1d674a31b62f2a78d457fba4e.html,"4917 BUTTERFIELD RD, HILLSIDE, IL",331524,Aluminum Foundries (except Die-Casting),,,Private,,,,,,41.876536,ALUMINUM FOUNDRY,-87.905916,Non Manufacturer,High,2 - Likely to pay,No,,(630) 808-2125,Non-Subsidiary,,2011,,,,,,Single Location,P.O. BOX 6358,VILLA PARK,USA,DUPAGE,ILLINOIS,601815318,"4917 BUTTERFIELD RD, HILLSIDE, IL 60162",4917 BUTTERFIELD RD,HILLSIDE,USA,COOK,IL,601621413,60162,,,33650102,"Hospital utensils, cast aluminum",0,"$300,000",4,4,$0,$0
Chicago,"ACME DIE CASTING, LLC",11-888-9547,11-888-9547,"Aluminum die-castings, zinc and zinc-base alloy die-castings",Casting,No,NA,NA,https://www.dnb.com/business-directory/company-profiles.acme_die_casting_llc.414489549031e9efc922b7042a810b9e.html,https://www.dnb.com/business-directory/company-profiles.acme_die_casting_llc.414489549031e9efc922b7042a810b9e.html,"3610 COMMERCIAL AVE, NORTHBROOK, IL",331523,Nonferrous Metal Die-Casting Foundries,,,Private,Importer,01-824-2412,"LOVEJOY INDUSTRIES, INC.",01-824-2412,"LOVEJOY INDUSTRIES, INC.",42.146943,MFG ALUMINUM DIE-CASTINGS,-87.867939,Non Manufacturer,Low,1 - Most likely to pay,No,,(847) 272-9520,Subsidiary,WWW.REGISTRAR-TRANSFERS.COM,1962,,ACME ALLIANCE,998019130,01-824-2412,"LOVEJOY INDUSTRIES, INC.",Single Location,,,,,,,"3610 COMMERCIAL AVE, NORTHBROOK, IL 60062",3610 COMMERCIAL AVE,NORTHBROOK,USA,COOK,IL,600621823,60062,,,33630000,Aluminum die-castings,0,"$789,237",4,4,$0,$0
Chicago,TRICAST/PRESFORE CORPORATION,00-509-9940,00-509-9940,"Plunger tips, castings",Casting,No,No,No,https://www.tricastcorp.com/,https://www.tricastcorp.com/contact.html,"169 VIRGINIA RD, CRYSTAL LAKE, IL",331524,Aluminum Foundries (except Die-Casting),,,Private,,,,,,42.213598,ALUMINUM FOUNDRY,-88.313704,Non Manufacturer,Low,1 - Most likely to pay,No,Rent,(815) 459-1820,Non-Subsidiary,WWW.TRICASTCORP.COM,1974,,,362322086,,,Single Location,,,,,,,"169 VIRGINIA RD, CRYSTAL LAKE, IL 60014",169 VIRGINIA RD,CRYSTAL LAKE,USA,MCHENRY,IL,600147903,60014,,,33650000,Aluminum foundries,9000,"$864,565",6,6,$0,$0
Chicago,JOHNSTON & JENNINGS INC,78-758-0513,78-758-0513,Iron castings,Casting,No,NA,NA,https://www.dnb.com/business-directory/company-profiles.johnston__jennings_inc.33722863ae3adea594567a65a0fbbe15.html,https://www.dnb.com/business-directory/company-profiles.johnston__jennings_inc.33722863ae3adea594567a65a0fbbe15.html,"1200 STATE ST STE 1, CHICAGO HEIGHTS, IL",331511,Iron Foundries,,,Private,,,,,,41.509663,GRAY/DUCTILE IRON FOUNDRY,-87.617272,Non Manufacturer,Medium,1 - Most likely to pay,No,Rent,(708) 757-5375,Non-Subsidiary,,1911,,,363804013,,,Single Location,,,,,,,"1200 STATE ST STE 1, CHICAGO HEIGHTS, IL 60411",1200 STATE ST STE 1,CHICAGO HEIGHTS,USA,COOK,IL,604112968,60411,,,33219903,"Gray iron castings, nec",65000,"$1,358,470",7,7,$0,$0
Chicago,ATHERTON FOUNDRY PRODUCTS INC,00-513-7013,00-513-7013,"Aluminum, brass, bronze castings",Casting,No,NA,NA,https://www.industrynet.com/listing/1231066/atherton-foundry-products-inc,https://www.industrynet.com/listing/1231066/atherton-foundry-products-inc,"11005 NEW MEXICO CT, ORLAND PARK, IL",331524,Aluminum Foundries (except Die-Casting),,,Private,,,,,,41.656371,ALUMINUM FOUNDRY,-87.642082,Non Manufacturer,Low,5 - Least Likely to pay,No,,(708) 849-4615,Non-Subsidiary,,1956,,,362331438,,,Single Location,,,,,,,"11005 NEW MEXICO CT, ORLAND PARK, IL 60467",11005 NEW MEXICO CT,ORLAND PARK,USA,COOK,IL,604679316,60467,,,33650200,Aluminum and aluminum-based alloy castings,0,"$710,000",9,9,$0,$0
Chicago,"WAGNER BRASS FOUNDRY, INC.",00-512-6438,00-512-6438,"Casting bronze, brass, and aluminum",Casting,No,NA,NA,https://www.wagnerfoundry.com/,https://www.wagnerfoundry.com/contact,"1805 BEACH ST, BROADVIEW, IL",331524,Aluminum Foundries (except Die-Casting),,,Private,,,,,,41.870417,ALUMINUM FOUNDRY,-87.865259,Non Manufacturer,Low,1 - Most likely to pay,No,,(773) 276-7907,Non-Subsidiary,WWW.WAGNERFOUNDRY.COM,1941,,,361921625,,,Single Location,,,,,,,"1805 BEACH ST, BROADVIEW, IL 60155",1805 BEACH ST,BROADVIEW,USA,COOK,IL,601552862,60155,,,33650200,Aluminum and aluminum-based alloy castings,0,"$1,437,915",9,9,$0,$0
Chicago,"FEDERAL EQUIPMENT & SERVICES, INCORPORATED",93-218-6740,93-218-6740,"Die casting, powder coating",Casting,No,No,No,http://www.speedysprayer.com/index.html,http://www.speedysprayer.com/contact-us.html,"3200 16TH ST, ZION, IL",424950,"Paint, Varnish, and Supplies Merchant Wholesalers",,,Private,Importer,,,,,42.466045,WHOL PAINTS/VARNISHES,-87.856537,Non Manufacturer,High,5 - Least Likely to pay,No,Rent,(847) 731-9002,Non-Subsidiary,WWW.SPEEDYSPRAYER.COM,1949,,,,,,Single Location,,,,,,,"3200 16TH ST, ZION, IL 60099",3200 16TH ST,ZION,USA,LAKE,IL,600991416,60099,,,51980000,"Paints, varnishes, and supplies",10000,"$1,610,510",10,10,$0,$0
Chicago,"WELCH STEEL PRODUCTS, INC.",82-915-3717,82-915-3717,Casting (pipe),Casting,No,NA,NA,https://www.welchbrothers.com/,https://www.welchbrothers.com/contact-us/,"333 HAMMOND AVE, ELGIN, IL",332111,Iron and Steel Forging,,,Private,,,,,,42.015223,MFG IRON/STEEL FORGINGS,-88.270954,Non Manufacturer,Low,2 - Likely to pay,No,Owns,(847) 741-2623,Non-Subsidiary,WWW.WELCHBROTHERS.COM,1987,,,,,,Single Location,P.O. BOX 749,ELGIN,USA,KANE,ILLINOIS,601210749,"333 HAMMOND AVE, ELGIN, IL 60120",333 HAMMOND AVE,ELGIN,USA,KANE,IL,601208421,60120,,,34620000,Iron and steel forgings,0,"$1,175,095",12,12,$0,$0
Chicago,"CALUMET BRASS FOUNDRY, INC.",00-524-5725,00-524-5725,Brass and bronze casting,Casting,No,No,No,https://calbrass.com/,https://calbrass.com/calumet-brass-foundry-contact/,"14610 LAKESIDE AVE, DOLTON, IL",331529,Other Nonferrous Metal Foundries (except Die-Casting),,,Private,,,,,,41.629158,COPPER FOUNDRY,-87.610912,Non Manufacturer,Low,5 - Least Likely to pay,No,Owns,(708) 849-3040,Non-Subsidiary,WWW.CALBRASS.COM,1906,,,362651535,,,Single Location,P.O. BOX 158,DOLTON,USA,COOK,ILLINOIS,604190158,"14610 LAKESIDE AVE, DOLTON, IL 60419",14610 LAKESIDE AVE,DOLTON,USA,COOK,IL,604192023,60419,,,33669901,"Brass foundry, nec",25000,"$2,159,886",12,12,$0,$0
Chicago,QUALITY DIE CASTING CO,62-727-3944,62-727-3944,Die casting,Casting,No,No,No,https://www.qualitydiecasting.net/,https://www.qualitydiecasting.net/contact_us.html,"1760 BRITANNIA DR STE 5, ELGIN, IL",331523,Nonferrous Metal Die-Casting Foundries,,,Private,,,,,,42.073598,MFG NONFERROUS DIE-CASTINGS,-88.344538,Non Manufacturer,High,5 - Least Likely to pay,No,Owns,(847) 214-8840,Non-Subsidiary,WWW.QUALITYDIECASTING.NET,2005,,,,,,Single Location,,,,,,,"1760 BRITANNIA DR STE 5, ELGIN, IL 60124",1760 BRITANNIA DR STE 5,ELGIN,USA,KANE,IL,601247814,60124,,,33640202,Zinc and zinc-base alloy die-castings,12100,"$2,429,281",14,14,$0,$0
Chicago,CRAFT DIE CASTING CORPORATION,00-513-8987,00-513-8987,Zinc die castings,Casting,No,NA,NA,https://www.linkedin.com/company/craft-die-casting-corporation/about/,https://www.linkedin.com/company/craft-die-casting-corporation/about/,"1831 N LOREL AVE, CHICAGO, IL",331523,Nonferrous Metal Die-Casting Foundries,,,Private,,,,,,41.914012,MFG ALUMINUM DIE-CASTINGS,-87.759114,Non Manufacturer,Low,4 - Less likely to pay,No,Rent,(773) 237-9710,Non-Subsidiary,WWW.CRAFTDIECASTING.COM,1953,,,362251146,,,Single Location,,,,,,,"1831 N LOREL AVE, CHICAGO, IL 60639",1831 N LOREL AVE,CHICAGO,USA,COOK,IL,606394390,60639,,,33630000,Aluminum die-castings,7200,"$2,597,876",20,20,$0,$0
Chicago,ALLIED DIE CASTING CORPORATION,04-153-6814,04-153-6814,Casting,Casting,No,No,No,http://www.allieddiecasting.com/,http://www.allieddiecasting.com/contact_allied.aspx,"3923 W WEST AVE, MCHENRY, IL",331523,Nonferrous Metal Die-Casting Foundries,,,Private,Importer,,,,,42.345998,MFG NONFERROUS DIE-CASTINGS,-88.275324,Non Manufacturer,Low,1 - Most likely to pay,No,Owns,(815) 385-9330,Non-Subsidiary,WWW.ALLIEDDIECASTING.COM,1966,,,362611748,,,Single Location,,,,,,,"3923 W WEST AVE, MCHENRY, IL 60050",3923 W WEST AVE,MCHENRY,USA,MCHENRY,IL,600504395,60050,,,33640202,Zinc and zinc-base alloy die-castings,20000,"$3,963,557",20,20,$0,$0
Chicago,VOGEL/HILL CORPORATION,00-509-6649,00-509-6649,Zinc-base alloy die-castings,Casting,No,No,No,https://www.buzzfile.com/business/Decardy-Diecasting-773-235-6916,https://www.buzzfile.com/business/Decardy-Diecasting-773-235-6916,"3935 W SHAKESPEARE AVE, CHICAGO, IL",331523,Nonferrous Metal Die-Casting Foundries,,,Private,,,,,,41.919654,MFG NONFERROUS DIE-CASTINGS,-87.725482,Non Manufacturer,Low,5 - Least Likely to pay,No,Owns,(773) 235-6916,Non-Subsidiary,WWW.DECARDY.COM,1907,,DECARDY DIECASTING,363374570,,,Single Location,,,,,,,"3935 W SHAKESPEARE AVE, CHICAGO, IL 60647",3935 W SHAKESPEARE AVE,CHICAGO,USA,COOK,IL,606473430,60647,,,33640202,Zinc and zinc-base alloy die-castings,17000,"$4,777,206",24,24,$0,$0
Chicago,ACCURATE PARTS MFG CO,79-909-3682,79-909-3682,"Casting, forging, gears, laser cutting",Casting,ISO9001 and ISO9002,No,Yes,https://www.accurateparts.us/,https://www.accurateparts.us/contact-us/,"220 GATEWAY RD, BENSENVILLE, IL",331529,Other Nonferrous Metal Foundries (except Die-Casting),,,Private,Importer,,,,,41.963708,NONFERROUS METAL FOUNDRY,-87.944238,Non Manufacturer,Low,1 - Most likely to pay,No,,(630) 616-4125,Non-Subsidiary,WWW.ACCURATEPARTS.US,2002,,,,,,Single Location,,,,,,,"220 GATEWAY RD, BENSENVILLE, IL 60106",220 GATEWAY RD,BENSENVILLE,USA,DUPAGE,IL,601061953,60106,,,33699902,"Castings, except die-castings, precision",0,"$3,828,294",26,26,$0,$0
Chicago,CHICAGO DIE CASTING MFG. CO.,00-512-2072,00-512-2072,Die casting,Casting,ISO9001 and ISO14001,No,No,https://cwmdiecast.com/,https://cwmdiecast.com/contact-us/,"43W483 THORNAPPLE TREE RD, SUGAR GROVE, IL",333613,Mechanical Power Transmission Equipment Manufacturing,,,Private,,,,,,41.811317,MFG POWER TRANSMISSION EQUIPMENT,-88.463062,Non Manufacturer,Low,2 - Likely to pay,No,,(847) 671-5010,Non-Subsidiary,,1919,,,360898840,,,Single Location,,,,,,,"43W483 THORNAPPLE TREE RD, SUGAR GROVE, IL 60554",43W483 THORNAPPLE TREE RD,SUGAR GROVE,USA,KANE,IL,605549766,60554,,,35689904,"Pulleys, power transmission",0,"$6,761,773",30,30,$0,$0
Chicago,M. H. DETRICK COMPANY,00-512-0829,00-512-0829,"Suspended refractory linings, castings",Casting,No,No,No,https://www.mhdetrick.com,https://www.mhdetrick.com/contact-us/,"7231 W LARAWAY RD, FRANKFORT, IL",333994,Industrial Process Furnace and Oven Manufacturing,,,Private,Both,,,,,41.483943,MFG INDUSTRIAL FURNACES/OVENS,-87.791167,Non Manufacturer,Low,1 - Most likely to pay,No,,(708) 479-5085,Non-Subsidiary,WWW.MHDETRICK.COM,1914,,,360992520,,,Single Location,,,,,,,"7231 W LARAWAY RD, FRANKFORT, IL 60423",7231 W LARAWAY RD,FRANKFORT,USA,WILL,IL,604237767,60423,,,35670101,"Heating units and devices, industrial: electric",0,"$10,826,867",31,31,$0,$0
Chicago,"UNIVERSAL ELECTRIC FOUNDRY, INC.",00-515-1147,00-515-1147,Casting,Casting,No,No,No,https://universalfoundry.com,https://universalfoundry.com/contact-us,"1523 W HUBBARD ST, CHICAGO, IL",331513,Steel Foundries (except Investment),,,Private,,,,,,41.889587,STEEL FOUNDRY,-87.666479,Non Manufacturer,High,4 - Less likely to pay,No,Rent,(312) 421-7233,Non-Subsidiary,WWW.UNIVERSALFOUNDRY.COM,1912,,,361899890,,,Single Location,,,,,,,"1523 W HUBBARD ST, CHICAGO, IL 60642",1523 W HUBBARD ST,CHICAGO,USA,COOK,IL,606426387,60642,,,33259901,"Alloy steel castings, except investment",22000,"$7,284,200",33,33,$0,$0
Chicago,"TRIO FOUNDRY, INC.",00-542-3967,00-542-3967,"Brass, bronze, aluminium castings",Casting,No,No,No,https://www.triofoundry.com/,https://www.triofoundry.com/contact,"1985 AUCUTT RD, MONTGOMERY, IL",331529,Other Nonferrous Metal Foundries (except Die-Casting),,,Private,,00-542-3967,"TRIO FOUNDRY, INC.",00-542-3967,"TRIO FOUNDRY, INC.",41.729747,COPPER FOUNDRY,-88.363429,Non Manufacturer,Low,1 - Most likely to pay,No,Owns,(630) 801-6900,Non-Subsidiary,WWW.TRIOFOUNDRY.COM,1909,,SANDWICH CASTING & MACHINE DIV,363513931,00-542-3967,"TRIO FOUNDRY, INC.",Headquarters,,,,,,,"1985 AUCUTT RD, MONTGOMERY, IL 60538",1985 AUCUTT RD,MONTGOMERY,USA,KENDALL,IL,605381135,60538,,,33669901,"Brass foundry, nec",70000,"$7,589,455",60,38,$0,$0
Chicago,"MONNEX INTERNATIONAL, INC.",12-761-8952,12-761-8952,"Metal die-cast, stamping",Casting,No,No,No,https://monnex.net/,https://monnex.net/contact-us/,"330 HASTINGS DR, BUFFALO GROVE, IL",331523,Nonferrous Metal Die-Casting Foundries,,,Private,Importer,,,,,42.158602,MFG ALUMINUM DIE-CASTINGS,-87.940654,Non Manufacturer,Low,1 - Most likely to pay,No,,(847) 850-5263,Non-Subsidiary,,1985,,,364006738,,,Single Location,,,,,,,"330 HASTINGS DR, BUFFALO GROVE, IL 60089",330 HASTINGS DR,BUFFALO GROVE,USA,LAKE,IL,600896940,60089,,,33630000,Aluminum die-castings,4000,"$7,290,000",50,45,$0,$0
Chicago,CURTO-LIGONIER FOUNDRIES CO.,00-524-5303,00-524-5303,"Aluminum casting, magnezium casting",Casting,ISO9001 and AS9100D,No,No,https://www.curto.com/,https://www.curto.com/contact.html,"1215 N 31ST AVE, MELROSE PARK, IL",331523,Nonferrous Metal Die-Casting Foundries,,,Private,,,,,,41.898205,MFG NONFERROUS DIE-CASTINGS,-87.871052,Non Manufacturer,Low,1 - Most likely to pay,No,Owns,(708) 345-2250,Non-Subsidiary,WWW.CURTO.COM,1946,,CURTO-LIGONIER,362303750,,,Single Location,,,,,,,"1215 N 31ST AVE, MELROSE PARK, IL 60160",1215 N 31ST AVE,MELROSE PARK,USA,COOK,IL,601602905,60160,,,33649901,Magnesium and magnesium-base alloy die-castings,40000,"$7,171,614",50,50,$0,$0
